Purchase{id=1, person=Person{imie='Marsh', nazwisko='Polon', email='mpolon0@google.de', ip='155.43.28.214'}, car=Car{color='#255a97', vin='3D7TT2HT8BG370793', company='Chevrolet', model='Cobalt', model_year='2006', price=67487.58}, localization=Localization[country='Czech Republic', city='Bořetice'], date=2020-09-03}
Purchase{id=2, person=Person{imie='Rozalie', nazwisko='Koles', email='rkoles1@va.gov', ip='163.62.162.110'}, car=Car{color='#9a89e7', vin='5UXKS4C52F0757166', company='Lexus', model='IS F', model_year='2009', price=72669.07}, localization=Localization[country='Poland', city='Kotuń'], date=2020-07-22}
Purchase{id=3, person=Person{imie='Kettie', nazwisko='Molesworth', email='kmolesworth2@amazon.co.jp', ip='112.14.244.143'}, car=Car{color='#e253f4', vin='1G6DN56S250035433', company='Volkswagen', model='GTI', model_year='2005', price=24576.75}, localization=Localization[country='Poland', city='Koronowo'], date=2020-02-13}
Purchase{id=4, person=Person{imie='Bobinette', nazwisko='Silversmid', email='bsilversmid3@va.gov', ip='235.128.129.91'}, car=Car{color='#430bbb', vin='3C4PDDDG8ET165757', company='Audi', model='A6', model_year='2002', price=14233.71}, localization=Localization[country='Poland', city='Parchowo'], date=2020-02-04}
Purchase{id=5, person=Person{imie='Gabbi', nazwisko='Hafner', email='ghafner4@icio.us', ip='8.198.1.190'}, car=Car{color='#0d807c', vin='WBAFU9C5XDD400069', company='Mazda', model='B-Series Plus', model_year='2004', price=71988.49}, localization=Localization[country='Poland', city='Gilowice'], date=2020-12-26}
Purchase{id=6, person=Person{imie='Bobbi', nazwisko='Sulland', email='bsulland5@barnesandnoble.com', ip='94.203.49.152'}, car=Car{color='#3c1515', vin='SALAB2D42BA929152', company='Chevrolet', model='Silverado 2500', model_year='2010', price=35588.74}, localization=Localization[country='Poland', city='Bielawa'], date=2020-03-27}
Purchase{id=7, person=Person{imie='Ilario', nazwisko='Gillott', email='igillott6@cpanel.net', ip='48.182.6.82'}, car=Car{color='#c7590d', vin='WBAEH73465B522209', company='Ford', model='Thunderbird', model_year='1955', price=17700.70}, localization=Localization[country='Poland', city='Wapno'], date=2020-06-04}
Purchase{id=8, person=Person{imie='Kean', nazwisko='Corday', email='kcorday7@stanford.edu', ip='153.153.169.51'}, car=Car{color='#9464f8', vin='WAUDGAFL2CA998863', company='Mazda', model='MX-5', model_year='1994', price=25332.86}, localization=Localization[country='Czech Republic', city='Příbram'], date=2020-01-23}
Purchase{id=9, person=Person{imie='Antonella', nazwisko='Riepl', email='ariepl8@mediafire.com', ip='169.75.223.75'}, car=Car{color='#7c776f', vin='2D4RN5D13AR749927', company='Dodge', model='Neon', model_year='2004', price=18117.79}, localization=Localization[country='Poland', city='Dobrzyca'], date=2020-03-11}
Purchase{id=10, person=Person{imie='Lynna', nazwisko='Jossel', email='ljossel9@archive.org', ip='68.72.88.141'}, car=Car{color='#0c6d6a', vin='1N6AA0CH9DN190180', company='Chevrolet', model='Malibu', model_year='2001', price=80118.18}, localization=Localization[country='Czech Republic', city='Hvozdná'], date=2020-07-14}
Purchase{id=11, person=Person{imie='Ninette', nazwisko='Minard', email='nminarda@tinypic.com', ip='248.97.165.1'}, car=Car{color='#ce2408', vin='3D7TT2HTXBG962910', company='Ford', model='Escape', model_year='2000', price=66074.00}, localization=Localization[country='Czech Republic', city='Staré Město'], date=2020-09-19}
Purchase{id=12, person=Person{imie='Brannon', nazwisko='Dexter', email='bdexterb@mozilla.com', ip='242.111.242.135'}, car=Car{color='#1906e0', vin='1G6DS57VX90897709', company='Cadillac', model='Escalade ESV', model_year='2007', price=28270.94}, localization=Localization[country='Poland', city='Rozwadza'], date=2020-01-12}
